"","loadings_1","loadings_2","loadings_3","weighted_loading_1","weighted_loading_2","weighted_loading_3","wavenumber"
"V50",0.00304582498380698,-0.00186546982910795,0.00346203813908554,0.00332720071222385,0.00169648765458698,0.00599463469502373,7402.47042
"V51",0.00455817411612223,-0.00164480070986201,0.00380724363660121,0.00462221945070009,0.000386146026370299,0.00341800367480358,7400.54169
"V52",0.00567804510550059,-0.00238883989799928,0.00495853863225426,0.00552428076436089,-0.000927085317297642,0.00246007560876165,7398.61296
"V53",0.00509861746516375,-0.00232003570905276,0.00534409810243041,0.00499138672533036,-0.000646522098203435,0.00281645774833482,7396.68423
"V54",0.00363899963835772,-0.00162257192072957,0.00478410733512995,0.003780219884303,0.000851453695639893,0.00416368804629338,7394.7555
"V55",0.00284600054392703,-0.00249273078366621,0.00397221884283051,0.0030084267689443,0.000979310074374007,0.00584330854184065,7392.82676
"V56",0.00293759179809002,-0.00493603630015,0.00326511010044772,0.00272747729196945,-0.00126683515912605,0.00617512156270494,7390.89803
"V57",0.00383999412408366,-0.0066786308795591,0.00373166477559101,0.00331280661030953,-0.00317855102073763,0.00589049708007183,7388.9693
"V58",0.00474164033101429,-0.00603907093759931,0.00565807616942682,0.00445722080777492,-0.0017148394874495,0.00727751187346877,7387.04057
"V59",0.00426285127601027,-0.00385952375321314,0.00716449366402083,0.00456936668674066,0.00184806135614645,0.00960564180734566,7385.11184
"V60",0.00286057998703298,-0.00237623787736979,0.00674542444485848,0.00348815098774768,0.00378378924536077,0.0103670839647143,7383.18311
"V61",0.00222255612804662,-0.00244829449374801,0.00549183556866177,0.00284641037318821,0.00376137995661233,0.0104506384692492,7381.25438
"V62",0.00286727235560911,-0.00341979249617055,0.00529915333053117,0.0035039615254522,0.00383876506522193,0.0122158675931789,7379.32565
"V63",0.00345665861050495,-0.00346621244266625,0.00527760180889814,0.00414822492184841,0.00416963366429484,0.0128508294128115,7377.39691
"V64",0.00272972129411283,-0.00138069219882088,0.00374413374677955,0.00343259289027757,0.00423779617510834,0.00945569549724254,7375.46818
"V65",0.00147190124343571,0.00130092838863953,0.00202949527749649,0.00217940180521612,0.00426570541612459,0.00498960341703321,7373.53945
"V66",0.00100608416646059,0.00224645247081334,0.00211815685835141,0.00167304776453302,0.00402129748914394,0.00298699453148381,7371.61072
"V67",0.00131885396203124,0.000872673635351382,0.00355024442641481,0.00178482254939401,0.00280944614638231,0.00325951214862636,7369.68199
"V68",0.00173313634002489,-0.00180582635015814,0.00518798071827814,0.00187858874096561,0.00087697046193124,0.00451504177774948,7367.75326
"V69",0.00198044044785588,-0.00430978892700494,0.00669865042778655,0.00194381744793393,-0.000220809618480931,0.00688159174900795,7365.82453
"V70",0.00201538560077042,-0.00527880745785568,0.00724192007587351,0.00199956084284156,-9.54115929408521e-05,0.00872345187501462,7363.8958
"V71",0.00165425416438477,-0.0043595567436514,0.00615398009287071,0.00170611820220267,0.000312701811098459,0.00786322783599618,7361.96706
"V72",0.00153175210361205,-0.00320351735543302,0.00518918697124952,0.00173374380587028,0.00121786065606346,0.00744100572476171,7360.03833
"V73",0.00245429946044151,-0.0036236976557044,0.00622514334007399,0.00285083136263986,0.00239079426116221,0.0101221539231815,7358.1096
"V74",0.00346471735831089,-0.0044815738442321,0.0073990892365776,0.00385153757535217,0.00233223997836427,0.0114673813298853,7356.18087
"V75",0.00333478576981058,-0.00365450585982593,0.00585614205715399,0.0035652055773234,0.00138926111721578,0.00848846193493159,7354.25214
"V76",0.00289872515214207,-0.00267206299190262,0.00369502550974434,0.0030338148778778,0.000814491190344146,0.00586773389706372,7352.32341
"V77",0.00305610188978026,-0.0026855043928294,0.00368266184010671,0.00315954242287304,0.000623669953208646,0.00556921059205464,7350.39468
"V78",0.00272820970158736,-0.000887409400951462,0.00374376172228626,0.00297562579430742,0.00149173615367376,0.00400400862490735,7348.46595
"V79",0.00134207533877509,0.00276635618293937,0.00236521759923724,0.00190638943055337,0.00340239684281857,0.00107043147612263,7346.53722
"V80",0.000545064862433162,0.0048531498722508,0.000914994966252666,0.00123988097731678,0.00418922757744696,-0.00111735517379123,7344.60848
"V81",0.00152738047096189,0.00426220203019455,0.000232585795739497,0.0020242662248529,0.00299585380714638,-0.0021312143754146,7342.67975
"V82",0.00287496847363324,0.00143965444182269,0.000726592053894669,0.00304561464169303,0.00102887025488961,-0.000691333669879113,7340.75102
"V83",0.00314526354035941,-0.00269847622112513,0.00233492436372647,0.00308278173589496,-0.000376719095519211,0.00390742615044865,7338.82229
"V84",0.00278480544492047,-0.00570261513504416,0.00373978935259375,0.00256752918232287,-0.0013100152568438,0.00739257325550721,7336.89356
"V85",0.00239915662741282,-0.0058975742629779,0.00492771349459157,0.00210688168152416,-0.00176220187944072,0.00695966947406667,7334.96483
"V86",0.00198913228491146,-0.00441218930026254,0.00700564184966236,0.00195848680697161,-0.000184769579403266,0.00711458153138949,7333.0361
"V87",0.0012626532889111,-0.00405163294563423,0.00832980287650547,0.00160822657274801,0.00208355146011687,0.0103252746467184,7331.10737
"V88",0.000423828397971555,-0.00592021879640944,0.00740852858313422,0.000717993857201813,0.0017736002774578,0.0129483956416,7329.17863
"V89",0.000226035207637959,-0.00676061380061471,0.00601147830435885,0.000232311505457371,3.78414365270645e-05,0.0114415334331448,7327.2499
"V90",0.000736099484030907,-0.00399449457825521,0.00515299519209559,0.000727101683504306,-5.42500861666353e-05,0.00663127688841705,7325.32117
"V91",0.00154855081357327,-0.000230503363065442,0.004297628445056,0.0017894870873166,0.00145266763500713,0.00283271075213308,7323.39244
"V92",0.00229622919060024,0.00181488095045612,0.00334674496027894,0.00269915129167262,0.0024293224368551,0.00103408091457858,7321.46371
"V93",0.00229474030939909,0.00206960260026667,0.00226068526898045,0.00258371370361335,0.00174229596329038,-0.000550844228464596,7319.53498
"V94",0.00165507875857278,0.000809430645629084,0.00203827485164523,0.00179211796751964,0.000826245133085143,2.8298122688024e-05,7317.60625
"V95",0.00194033081666921,-0.00204621403979458,0.00458901804456701,0.00205310813369874,0.00067996385876821,0.00458805044426831,7315.67752
"V96",0.00335687379404493,-0.0048341103795011,0.00832254651422145,0.00351305602383353,0.00094166339859162,0.00972040066150556,7313.74878
"V97",0.00399913382042875,-0.00481049570432828,0.00931837205441473,0.00428510109892784,0.00172417130759336,0.010997588199581,7311.82005
"V98",0.00358109038985732,-0.00313716328924954,0.00835807730275886,0.00397569396115907,0.00237916785124254,0.00928376888141031,7309.89132
"V99",0.00325259586264537,-0.00251371542875605,0.00806528307747191,0.00359787104890703,0.00208175415208634,0.00773399500565271,7307.96259
"V100",0.00317326619687752,-0.00222656992682237,0.00761307133023444,0.00347789134010803,0.00183666444037317,0.00683826402283056,7306.03386
"V101",0.00299293325530705,-0.0014640924624932,0.00651792463852212,0.00334335626306139,0.00211279171051216,0.00601975572749863,7304.10513
"V102",0.00248414087974114,-0.00126914224617269,0.00587287534664748,0.00281153181617899,0.00197392534535751,0.00545795551785396,7302.1764
"V103",0.00214081390977664,-0.00217729801543821,0.00613322180361585,0.00237309756523513,0.00140049874260599,0.00602129157231459,7300.24767
"V104",0.00289433386037596,-0.00388847689097379,0.00707619847939429,0.00302343869791492,0.000778406738436983,0.00785418204753063,7298.31893
