"","loadings_1","loadings_2","loadings_3","weighted_loading_1","weighted_loading_2","weighted_loading_3","wavenumber"
"V73",0.00121428729934864,-0.0025855760342731,0.000230641912251577,0.00159216432259445,0.00171996228473677,0.00939537812876491,7358.1096
"V74",0.00194429125180633,-0.00327228190615673,0.000238587388961271,0.00221678605768588,0.00124029978026642,0.00984718010607211,7356.18087
"V75",0.00215077744844694,-0.00335407085380057,7.30874576554732e-05,0.00212474041746856,-0.000118511337113506,0.00706051203473892,7354.25214
"V76",0.002139281106538,-0.00340541228637465,-2.27654227509095e-06,0.0019078498599586,-0.00105339301185094,0.00513248490966288,7352.32341
"V77",0.00237164812524842,-0.00348851329361139,6.80673692313839e-06,0.00209587581657652,-0.00125521781138281,0.00487341047138215,7350.39468
"V78",0.00246297913048984,-0.00144741520819975,-0.000302058898098447,0.00246510147400974,9.66015551335644e-06,0.0031795731427471,7348.46595
"V79",0.00189870206756247,0.00202836830918763,-0.000995141156102781,0.002390460172418,0.00223830860712314,0.000458123546331195,7346.53722
"V80",0.00158410056376066,0.00362565906407568,-0.00153887936803531,0.00222408382159776,0.00291297697035883,-0.00155518712410611,7344.60848
"V81",0.00247290235073463,0.00257432083565536,-0.00166103279368419,0.00277261507691044,0.00136418610703069,-0.00264070890090085,7342.67975
"V82",0.00322378269073107,-0.000146875422487611,-0.00179310720554038,0.00302851633082736,-0.000888783265061735,-0.00161896241566445,7340.75102
"V83",0.00259422512957212,-0.00361716263954824,-0.002022969788262,0.0020565742433762,-0.00244719628271959,0.00255305504350185,7338.82229
"V84",0.00165120388160824,-0.00589994837122147,-0.00199535126330001,0.00095888811730221,-0.00315117599240878,0.0059982640904213,7336.89356
"V85",0.00123883341111504,-0.00539590967772843,-0.00142314041690858,0.000591580774301132,-0.00294606460708829,0.00534595655412677,7334.96483
"V86",0.000780647842707929,-0.00316762491451567,-0.000360240267188235,0.000567224317056284,-0.000971428248384384,0.00479245487894797,7333.0361
"V87",-0.000358859365583501,-0.00240590561562994,0.000387598998417097,-9.92372555080107e-05,0.00118170783123575,0.00782875041764726,7331.10737
"V88",-0.00165492722953329,-0.00425974203730638,0.000452118571000539,-0.00147160613389123,0.000834412655716985,0.0111162660836295,7329.17863
"V89",-0.00176800212114376,-0.00527975941521641,0.000257411855365205,-0.0019287689316007,-0.000731753543118935,0.00992448138518147,7327.2499
"V90",-0.000449110562789068,-0.0031027771635339,-0.000240577716138042,-0.000653839651330263,-0.000931854252091789,0.00473730347523382,7325.32117
"V91",0.00126772838668725,-0.000168512292884863,-0.0011405067312247,0.00127708943243472,4.26081625525606e-05,0.000460698840094823,7323.39244
"V92",0.0025019317651215,0.00108937286914272,-0.00179845799467471,0.0026025465345111,0.000457962770933114,-0.00137783853898299,7321.46371
"V93",0.00264632085640122,0.00058608162167033,-0.00136042633123989,0.00257498079106568,-0.000324714693457192,-0.00198750426656908,7319.53498
"V94",0.00178299670731858,-0.00069234440921644,-1.05691439044003e-05,0.00160116785726865,-0.00082762048265503,-0.000295194181902535,7317.60625
"V95",0.00125868645657726,-0.00199131451003422,0.000682958454346858,0.00115311837765935,-0.000480508480381472,0.00329682211052063,7315.67752
"V96",0.00174934538910425,-0.00282867422867856,2.96356731181886e-05,0.00173351744511521,-7.20431913859712e-05,0.00601541294906171,7313.74878
"V97",0.00226918092207629,-0.0026059358177754,-0.000482724912957782,0.00236207755280157,0.000422832539152978,0.00660926041515852,7311.82005
"V98",0.00230721555653618,-0.00190575247407993,-0.000119419562669889,0.00247984029939175,0.000785726648774917,0.00587324097738215,7309.89132
"V99",0.00221816487829668,-0.00160399972038877,-2.96054575761959e-05,0.00234600453843825,0.000581880824741334,0.00476994344124916,7307.96259
"V100",0.00227345503953759,-0.00147487146069258,-1.40686588544372e-05,0.00237881709179207,0.000479570720028409,0.00426490765106101,7306.03386
"V101",0.00234983061791556,-0.00147068823108666,0.00105509448961531,0.00248123711174707,0.000598115787560565,0.00451446360230489,7304.10513
"V102",0.00193022748446751,-0.00177511947258003,0.00227693901057834,0.00199530360200145,0.000296203423097963,0.00451996019771537,7302.1764
"V103",0.00129267699329577,-0.00237646588790054,0.00232645312689372,0.00122675659634325,-0.000300046283786474,0.00453108203647769,7300.24767
